Date,neerslag,verdamping,kwel,wegzijging,maalstaat,uitlaat,verhard,uitspoeling,intrek,afstroming,drain
2010-11-08,1860.73,-105.57732680195939,25.56713426,-59.86798195,3000.0,-2778.182555233628,-0.0,54.53312245463183,-1997.2023927290445,0.0,0
2010-11-09,402.32,-70.38488453463961,25.56713426,-59.86798195,3000.0,-1335.737391523205,-0.0,52.16663020916864,-2014.0635064613239,0.0,0
2010-11-10,1156.67,-175.96221133659904,25.56713426,-59.86798195,3000.0,-1991.377329855372,-0.0,49.00784718825178,-2004.0374583062808,0.0,0
2010-11-11,4626.68,-35.192442267319805,25.56713426,-59.86798195,3000.0,-5601.703763629319,-0.0,49.251762469426595,-2004.7347088827878,0.0,0
2010-11-12,3218.56,-211.15465360391877,25.56713426,-59.86798195,3000.0,-3941.2490522250355,-0.0,45.35552622248394,-2077.21097270353,0.0,0
2010-11-13,4073.49,-70.38488453463961,25.56713426,-59.86798195,3000.0,-4900.314073489531,-0.0,46.99361360023555,-2115.483807886065,0.0,0
2010-11-14,1911.02,-70.38488453463961,25.56713426,-59.86798195,3000.0,-2675.744498548798,-0.0,44.352132240211986,-2174.941901466774,0.0,0
2010-11-15,50.29,-140.76976906927922,25.56713426,-59.86798195,3000.0,-724.9151903952352,-0.0,41.97479901619079,-2192.2789918616763,0.0,0
2010-11-16,100.58,-246.3470958712386,25.56713426,-59.86798195,3000.0,-690.6897439507038,-0.0,41.893079114571705,-2171.135391602629,0.0,0
2010-11-17,0.0,-70.38488453463961,25.56713426,-59.86798195,3000.0,-792.9145838823017,-0.0,44.90635120311454,-2147.306035096173,0.0,0
2010-11-18,0.0,-70.38488453463961,25.56713426,-59.86798195,3000.0,-809.5661482033819,-0.0,42.473596082803084,-2128.2217156547817,0.0,0
2010-11-19,100.58,-105.57732680195939,25.56713426,-59.86798195,3000.0,-891.6577025747597,-0.0,40.284116474522776,-2109.3282394078037,0.0,0
